iv_malla_modis_id;tau;p_value;tendencia
184175;0.1257;0.6015;0
184175;0.3567;0.1116;0
184175;0.4690;0.0451;1
184175;-0.2010;0.3906;0
184175;0.4097;0.0827;0
184175;0.0815;0.7243;0
184176;0.1583;0.5097;0
184176;0.2424;0.3108;0
184176;0.2961;0.2023;0
184176;-0.0166;0.9434;0
184176;0.2010;0.3922;0
184176;0.2345;0.3148;0
184177;-0.1184;0.6144;0
184177;0.2290;0.3025;0
184177;-0.0313;0.8897;0
184177;-0.2385;0.3267;0
184177;0.4565;0.0520;0
184177;0.2198;0.3486;0
183495;0.1616;0.5019;0
183495;0.4308;0.0537;0
183495;0.3940;0.0823;0
183495;-0.1856;0.4395;0
183495;0.4317;0.0745;0
183495;0.4780;0.0429;1
183496;-0.2048;0.3881;0
183496;0.3512;0.1139;0
183496;0.0498;0.8313;0
183496;-0.3889;0.0990;0
183496;0.5360;0.0225;1
183496;0.5462;0.0207;1
183497;0.0172;0.9424;0
183497;0.5428;0.0156;1
183497;0.4690;0.0444;1
183497;-0.2286;0.3357;0
183497;0.3685;0.1179;0
183497;0.5462;0.0207;1
183498;-0.1616;0.5066;0
183498;0.3636;0.1160;0
183498;0.2543;0.2649;0
183498;-0.1162;0.6192;0
183498;0.5593;0.0164;1
183498;0.2303;0.3214;0
182816;0.1494;0.5228;0
182816;0.2462;0.2703;0
182816;0.1876;0.4054;0
182816;-0.3414;0.1482;0
182816;0.4264;0.0747;0
182816;0.3411;0.1563;0
182817;-0.0169;0.9426;0
182817;0.2462;0.2703;0
182817;0.2326;0.3002;0
182817;-0.2989;0.2130;0
182817;0.4139;0.0965;0
182817;0.2785;0.2373;0
182818;0.1066;0.6559;0
182818;0.4545;0.0447;1
182818;0.2595;0.2426;0
182818;-0.2385;0.3285;0
182818;0.1380;0.5796;0
182818;0.3685;0.1142;0
182819;0.1231;0.6081;0
182819;0.2901;0.1916;0
182819;0.2326;0.3002;0
182819;-0.1184;0.6168;0
182819;0.3154;0.1773;0
182819;0.5241;0.0254;1
182137;-0.0760;0.7553;0
182137;0.2154;0.3348;0
182137;-0.0323;0.8881;0
182137;-0.3693;0.1239;0
182137;0.4999;0.0355;1
182137;-0.1231;0.6042;0
182138;-0.2048;0.3857;0
182138;-0.1679;0.4496;0
182138;-0.1763;0.4401;0
182138;-0.3198;0.1877;0
182138;0.5685;0.0175;1
182138;-0.0742;0.7572;0
182139;-0.2541;0.2958;0
182139;0.0775;0.7295;0
182139;0.0647;0.7784;0
182139;-0.2286;0.3409;0
182139;0.4654;0.0511;0
182139;0.0683;0.7724;0
